start_week,partner,campaign_type,novos_clientes,quant_pedidos,receita_bruta_total,receita_liquida,custo_produto,margem_bruta,custo,clicks,impressions
2022-11-28,google_pago,shopping_RAC_high_ltv,456,3171,823337.03,585034.38,403217.46,102726.46,294372.08,280766,23989950
2022-12-05,google_pago,shopping_RAC_high_ltv,436,3347,854825.51,601437.69,403335.35,111871.66,290082.14,303936,26160786
2022-12-12,google_pago,shopping_RAC_high_ltv,401,3397,860173.54,604796.07,402085.89,119693.45,311702.46,338346,29204030
2022-12-19,google_pago,shopping_RAC_high_ltv,358,3015,733861.48,517016.17,345467.3,100772.65,213168.16,241284,17631374
2022-12-26,google_pago,shopping_RAC_high_ltv,358,2794,669919.2,472127.09,316515.52,89550.87,197140.32,185346,13176190
2023-01-02,google_pago,shopping_RAC_high_ltv,539,3781,945755.43,675206.77,444101.16,146533.05,359223.38,302444,21798182
2023-01-09,google_pago,shopping_RAC_high_ltv,538,3269,813290.05,582760.46,384283.35,124185.7,352043.98,287790,19181374
2023-01-16,google_pago,shopping_RAC_high_ltv,406,2629,645784.09,462183.33,300592.96,103848.53,304738.1,241914,15381822
2023-01-23,google_pago,shopping_RAC_high_ltv,446,2581,659064.71,471173.77,308676.92,105125.97,258115.32,230872,13627462
2023-01-30,google_pago,shopping_RAC_high_ltv,494,2783,701194.36,499787.48,327989.79,111975.27,220179.84,208192,12404130
2023-02-06,google_pago,shopping_RAC_high_ltv,487,2682,678349.59,484500.56,317768.43,104374.66,264012.5,233674,15802904
2023-02-13,google_pago,shopping_RAC_high_ltv,404,2287,567290.58,405356.46,269702.17,86761.39,220305.02,214364,13889356
2023-02-20,google_pago,shopping_RAC_high_ltv,329,1888,479178.43,341737.47,225507.85,75498.68,166933.4,188282,11650502
2023-02-27,google_pago,shopping_RAC_high_ltv,410,2348,592680.31,422068.82,278288.5,91876.99,276330.62,246582,16851704
2023-03-06,google_pago,shopping_RAC_high_ltv,418,2427,632796.03,450298.41,296891.42,99882.96,330369.84,260034,18209798
2023-03-13,google_pago,shopping_RAC_high_ltv,395,1986,525231.99,373879.6,245624.15,85033.15,305528.94,236246,16816610
2023-03-20,google_pago,shopping_RAC_high_ltv,221,1471,383879.83,274393.22,178712.4,63159.14,202949.96,159299,12255156
2023-03-27,google_pago,shopping_RAC_high_ltv,289,1736,447318.85,318455.73,209042.17,71926.42,126571.29,113903,7886755
2023-04-03,google_pago,shopping_RAC_high_ltv,257,1541,393115.71,279516.45,182169.74,65301.43,149021.45,109182,8919064
2023-04-10,google_pago,shopping_RAC_high_ltv,368,2031,514948.91,367025.18,238932.1,85818.5,173882.15,122740,9993679
2023-04-17,google_pago,shopping_RAC_high_ltv,298,1729,445187.19,317853.77,206534.5,76036.01,135628.72,103715,7528217
2023-04-24,google_pago,shopping_RAC_high_ltv,71,367,94571.28,67334.94,44042.55,15751.35,289.88,326,20795
