uf_nova,localidade,Faixa,Vendas,Margem Ajustada,Margem Recomposta,Receita Liquida Operacional,Ticket Médio,Ticket Mediano,Threshold_min,Threshold_max,Threshold_medio,Threshold_mediano,Margem Faixa,Margem Geral,Margem Tier,Ticket Tier,Margem Geral Tier
Norte,Capital,"[280,290)",4399,60829.48,100038.04455013969,1204416.6,354.68618322345986,283.87,0,599,438.91279069767444,349,0.023169787873736865,0.05050534839855246,Tier 3,Tier 2,Tier 2
Norte,Interior,"[290,300)",3516,71624.78,103944.2950981942,1121209.82,392.6475369738339,294.595,0,499,149.6086956521739,119,0.008736609124624492,0.06388169165339633,Tier 3,Tier 4,Tier 2
Norte,Metropolitana,+300,406,-6592.45,-861.4687749452196,144548.02,481.71657635467983,445.16499999999996,39,599,524.5510204081633,499,-0.028407290172207597,-0.045607335195597974,Tier 4,Tier 1,Tier 4
Norte,Não Encontrada,"[250,260)",177,6058.41,7690.9275935723745,56490.62,395.4257062146893,253.12,119,119,119,119,0.31839495733722806,0.10724630035924547,Tier 1,Tier 4,Tier 1
Paraíba,Capital,"[170,180)",16418,35829.15,143349.18428478687,2589431.7,223.093080765014,175.41,0,599,167.3619093078759,39,-0.027272024679369376,0.013836684705759954,Tier 4,Tier 4,Tier 3
Paraíba,Interior,"[240,250)",9393,-23208.55,41742.048552522305,1933439.76,287.41936229106784,242.91,0,599,262.01183939601924,179,-0.01400280035551628,-0.012003761627411656,Tier 4,Tier 4,Tier 4
Paraíba,Não Encontrada,+300,4,-2447.6,-2272.7078459351815,2165.44,792.5,805.06,349,599,432.3333333333333,349,-1.130301462982119,-1.130301462982119,Tier 4,Tier 4,Tier 4
Paraná,Capital,"[150,160)",30970,445163.71,598517.5082206228,4623854.58,200.1534791733936,156.95999999999998,0,399,187.85460605113784,79,0.03394664609614703,0.09627545639638174,Tier 3,Tier 4,Tier 2
Paraná,Interior,"[200,210)",52812,726948.92,1050703.2519368543,9783549.25,256.9672777535834,201.24,0,399,207.1036146667052,119,0.024179317356481742,0.07430319012295053,Tier 3,Tier 4,Tier 2
Paraná,Metropolitana,"[170,180)",7574,73640.54,117334.98514807383,1245247.43,227.62529310800105,179.24,0,399,198.89733059548254,109,0.009611757471807135,0.05913727523211993,Tier 3,Tier 4,Tier 2
Pernambuco,Capital,"[150,160)",22365,289413.44,425879.63289664837,3352447.77,205.93758070285256,157.4,0,599,204.55922922298467,79,-0.0017566542923637262,0.08632899297935967,Tier 4,Tier 4,Tier 2
Pernambuco,Interior,"[270,280)",12717,25261.48,141877.65631952614,3008948.17,321.55659825430524,275.5,0,599,313.0124942156409,259,0.005555308315985358,0.00839545202269137,Tier 3,Tier 3,Tier 3
Pernambuco,Metropolitana,"[170,180)",10698,93295.38,164488.03036598902,1689490.74,216.7710544026921,170.91,0,599,208.88419976635515,79,-0.0025351290392054107,0.055221007011852584,Tier 4,Tier 4,Tier 2
Piauí,Capital,+300,1594,-8096.88,7997.584007293932,433322.3,387.6239836888331,343.41999999999996,39,599,386.943585077343,349,-0.003834680272540259,-0.018685583456009534,Tier 4,Tier 1,Tier 4
Piauí,Interior,+300,737,-7205.44,562.7480071970183,235593.34,417.9473270013568,316.67,39,599,304.4901960784314,299,-0.00197051510677193,-0.030584226192472162,Tier 4,Tier 3,Tier 4
Piauí,Não Encontrada,+300,2,-55.04,-55.04,658.3199999999999,433.81,433.81,349,349,349,349,-0.08360675659253859,-0.08360675659253859,Tier 4,Tier 4,Tier 4
Rio de Janeiro,Capital,"[160,170)",172139,2408187.88,3352203.694689559,27298111.14,219.913881724178,168.21,0,399,157.08323015668006,39,0.026502926532449435,0.08821811398046787,Tier 3,Tier 4,Tier 2
Rio de Janeiro,Interior,"[210,220)",39119,326955.82,562481.29409831,7381461.24,264.8742833405762,210.38,0,399,214.0002283887176,139,0.00870101181039448,0.044294186390661044,Tier 3,Tier 4,Tier 3
Rio de Janeiro,Metropolitana,"[180,190)",68866,781832.77,1158503.4028778751,11687916.83,236.7316407962944,180.18,0,399,180.35413773018504,99,0.027724891099238834,0.06689239676939077,Tier 3,Tier 4,Tier 2
Rio Grande do Norte,Capital,"[210,220)",2632,9161.66,24196.809116773646,499638.54,262.44078267477204,215.95499999999998,0,599,235.3609958506224,169,-0.0177796449504353,0.018336575877433314,Tier 4,Tier 4,Tier 3
Rio Grande do Norte,Interior,+300,3770,-15383.02,14994.44351286007,969363.53,349.1255702917772,314.91,0,599,344.7320885801129,299,-0.010947170762216032,-0.015869196151829645,Tier 4,Tier 3,Tier 4
Rio Grande do Norte,Não Encontrada,+300,4,109.95999999999998,161.8117002579641,1335.87,485.62,474.5,349,349,349,349,0.08231339875886126,0.08231339875886126,Tier 2,Tier 4,Tier 2
Rio Grande do Sul,Capital,"[150,160)",25670,364614.02,501321.23560003017,4018557.99,202.87626606934165,157.255,0,399,201.29082848067762,89,0.04154721060613606,0.09073255155389708,Tier 3,Tier 4,Tier 2
Rio Grande do Sul,Interior,"[200,210)",79244,1304382.62,1811569.6466624814,15406174.2,261.9585419716319,203.925,0,399,211.3368497219895,119,0.02414473855952101,0.08466622557078449,Tier 3,Tier 4,Tier 2
